,#空洞骑士 #丝之歌 RZFJRMLG6Q,下三路大王,112,3,17,
喜报生出来了,"悲报bug太多但我懒得改（。）
脖洞按着蜂的做的，结果做浅做小了，拼尽全力安装上去之后依然脖子长，果然一体头各种意义上还是好勉强。。。",拖稿还敷衍的我跟你拼了。,805,63,58,
,存档一张特别萌的异色换稿，，好喜欢呀小鼻嘎小鼻嘎我要印成钥匙扣,幸福的我女小菇,2,0,0,
,#空洞骑士 #丝之歌 RZFJRMLG6Q,下三路大王,112,3,17,
喜报生出来了,"悲报bug太多但我懒得改（。）
脖洞按着蜂的做的，结果做浅做小了，拼尽全力安装上去之后依然脖子长，果然一体头各种意义上还是好勉强。。。",拖稿还敷衍的我跟你拼了。,805,63,58,
,存档一张特别萌的异色换稿，，好喜欢呀小鼻嘎小鼻嘎我要印成钥匙扣,幸福的我女小菇,2,0,0,
什么娃从S1赛季做到了S2,"ok原来是我们雪影宝宝[皱眉R]
是异色+炫彩！
#棉花娃娃 #雪影娃娃异色 #大人也要玩玩具 #洛克王国世界 ",支仓没睡,24,0,9,
✨童话风开窗盒，性价比拉满,"烘焙店/伴手礼闭眼入，颜值高还不贵✅
.. 包装亮点
• 浅绿底色+森林野餐插画，软萌治愈，适配曲奇/马卡龙/甜品
• 开窗+压纹设计，高级感拉满，内部分格，陈列规整
• 翻盖结构，开箱仪式感足，送礼自用都合适
.. 版权声明
案例仅作设计灵感分享，版权归原品牌方
定制可风格借鉴+原创优化，规避版权风险
.. 定制亮点
小批量100个起订，高性价比
烘焙店/甜品店/伴手礼轻松定制，百元预算做出大牌质感..
#烘焙包装 #小批量包装 #甜品礼盒 #开窗盒定制 #性价比包装 #伴手礼包装 #包装设计 ",做包装的小姐姐,118,47,4,
几张没发过的稿,"方罐头三则与一张小海报
p4可能有前团要素？感觉还是说一下的好
总之感谢各位支持了，画稿过程尝试学习了一些东西，虽然个人总感觉哪里差点意思不过多少能有点进步还是好事..
#空洞骑士#oc#稿件展示 ",Cyanfield,292,13,8,
,果然谷子美怎么拍都好看，但是怎么拍都有反光，knt这个柄图配教堂背景真配#谷美 #knt #奏人 #手残党拍谷 ,木可,1,0,0,
异色大全,加s1绒绒 千兽 手册同价,裕研,0,0,0,
谁知道我们脚下的深处还埋藏着什么奇迹,#空洞骑士 #空洞骑士奎若 #奎若 ,崇云亭,10,0,0,
,抓公平鸽的时候歪出来的，它真的好可爱......#洛克王国世界 #猴麦仔 ,Kastor,243,5,56,
主要是洞丝cp32结算,#cp32 有点晚的发！！后面会缓慢repo！吃到这么多制品和无料真的超级幸福！！大家准备的都好用心...... 到后面我的无料不是很全了但是大家都没嫌弃……啊啊啊同担我爱你们！,休眠期期,27,0,3,
准备刷特殊表情小夜异色低价出！,小夜无表情都10r一只出可挂机，有表情急躁、开朗、悠闲30一只出蹲表情要有次数，小丑豆豆20要有次数，恶魔叮8r要有次数，（哭哭脸我自己再刷价格比较高建议勿扰）#洛克王国世界 #异色小夜 ,略略略,602,46,142,
你说这小东西谁发明的呢,"可怜无助又阴险邪恶
宝宝好萌
还要再刷个急躁脸异色..",404WithOnly..,134,5,76,
画了杭州100+幅后，继续蹲大家心中的白月光,"..
在杭州画了上百幅风景油画后
突然想听听你们眼里最美的杭州角落是哪里？..
是断桥残雪的缱绻浪漫
茅家埠水岸的安然静谧
满陇桂雨的馥郁芬芳
九溪烟树的层叠清幽
龙井茶山的山野清风
灵隐古寺的悠远禅韵
西溪芦荡的江南柔情
还是苏堤烟柳、钱江晚霞、郭庄雅致、湘湖烟波……
本在杭画手准备扎根杭州本土风光
把你们心中的杭州Top美景都画下来！..️
快来告诉我：
你私藏的杭州绝美打卡地是哪里？
（附地址更好哦～）
是藏在巷子里的老桥，还是某片小众的花海？评论区告诉我，接下来我就扎根这儿，把你们爱的风景都变成油画！
#杭州旅游 #杭州打卡 #油画写生 #杭州小众景点 #手绘杭州
#画画立flag #来自星星的艺术家 #绘画的力量 #当代艺术 #女性艺术家
@画画薯 @艺术薯",孙晓岚,15894,3051,259,
三门一直卡在左特那,好绝望啊。我要打哭了。明明手办屋打左特连着三次都过了，我想着这下应该稳定了去打个三门吧。然后就是又死了四次。我已绝望我已崩溃#空洞骑士 ,yang,3,0,8,
立体书严肃流团中,"对不起btd试一下...！其实是一个通贩截团提醒
5.13  00.00截团啦
指路............
#伊索尔德 #立体书机关 ",11scalpel,572,67,31,
记录第一颗异色蛋,红绒宝宝好样的，妈妈没白疼你#洛克王国世界 ,Augenstern,1,0,0,
片刻..,"继续炒个冷饭，是有点久的一张
#插画 #绘画 #稿件展示 #画画的日常 ",奈里,5318,380,64,
悄悄地发一个空洞柔造码,"被论文整疯了就来搞这个了。无人问津我就悄悄地删
之前犯蠢搞错了，这回应该没问题了！大概...
还是有问题对不起，我又改了
p1银卡纸方卡RZF7XDEJEE
p1珠光纸RZF4WZ3E36
p2珠光纸方卡 RZFRLRNWD7
p2银卡纸RZF38YP726
#空洞骑士 #丝之歌 #大黄蜂
以及求返图老师们..柔造发货太慢了我不知道十多天后我在哪....
不知道多少编了，突然发现这个种类好像必须十张起售...我已经把可领取件数提到10了，但是可能要麻烦老师们找其他柔造码凑一下单....
n+1编，把两张图都搞了银卡纸和珠光纸两种，方便凑单...如果没了跟我说！",stellaris,128,4,89,
CP32收到的无料..,过了二十天还是要回味..很多手作很精致超感动..！虽然第一次见面但是非常亲切..，我们CP33再见呀..‍❤️‍..，姐妹们真的太棒了..！在地铁上还收到了..，不得不说杭州在场馆指引和问路上面真的很好，一天下来步数都没有在迪多，我将全部扛回去珍藏[爱心R]#同人产粮节 #同人创作 #拓麻歌子 #恋与深空 #CP32无料 #自制周边 #快乐恰谷 #同人女交流中心 #cp33见 ,melissa.,6,0,0,
以为是一只猫在睡觉,"以为是一只，
再看是两只，
细看是三只，
原来是四只。",momo,26841,1621,1473,
首次参加cp有感,"全彩本子超绝工艺还送一堆制品
每套本拿到手的时候都在感叹
老师们做这些真的不会亏钱吗
不会产出的人只会等待被投喂并有偿猛吃
	
#cp32 ",haruru,961,35,112,
没有人觉得学院服夯爆了吗,萌萌小洛克妹妹，先放一个在这里，过几天画小洛克弟弟......好萌好萌#洛克王国世界 #洛克王国S2狂欢怪谈新赛季 #洛克王国学院 ,月漓,32,0,10,
所有人停下 行注目礼,"喷喷198高级球
中途偶遇野生炫彩
雪人664高级球",..,191,5,47,
,#空洞骑士 #格林剧团 ,暴虐与不合理乃伤痕之母,22,2,3,
迟来的cp32胜利结算,"展会结束就把本子寄回家了
这周才有时间回家..
迟到的大结算
#cp32 #cp罗夏街道 ",费钱想躺平,13,0,0,
你是说我又做了古早梦情的美工吗,"愤怒的肆意的，张扬的飞舞的
	
#诡秘之主
#周边设计
#克莱恩
#色纸
#吧唧 ",安屿辞Gemini（6.15开稿,28,2,2,
这期通行证太好品了,"我的天呐小男孩
我都想把小号一起养起来，但是又说要出性转
真的好萌啊我靠..
#洛克王国世界 #穿搭 ",蛋糕不准做咸口的！！,33,1,0,
求赞捏,真是太难抢力，从边角落里抠出来这些，希望之后能手速爆发吃的顺利[皱眉R]#空想印调 #诡秘之主 ,小南瓜花,38,0,2,
不要了！（战令版）,"画了s2战令的宠物和s1的异色
左滑头像 ..自用
	
#洛克王国世界 #洛克创作激励计划 #洛克王国S2狂欢怪谈新赛季 #洛克王国创意大师  #Q版 #表情包 #表情包分享 #梗图 #不要了#头像 ",废画小咪,2195,150,46,
..袭来，久等啦,信息都在图里啦，纸袋子余132#重返未来6 #同人谷 ,有耳有耳(看置顶),1273,157,49,
海悲丝不出导致的,"想给自己一拳好忘记玩丝之歌的记忆
这样就可以再玩亿遍了
我真幸运....
#空洞骑士 #丝之歌 #大黄蜂 #steam #全成就 #励志 #心态 #算了你们肯定觉得没意思 ",轴！,21,0,1,
啥狼新朋友！,是豆豆呀！#洛克王国世界 #洛克创作激励计划 #洛克王国世界S2狂欢怪谈新赛季 ,用户island,1078,39,7,
,辐光好难打啊#空洞骑士 ,橙猫咩,1,0,1,
这个说法有道理吗,"起因是最近正在开展cp32同人展，并且有一些统计摊位数量的帖子，然后刷到p2的说法，听起来好像很有逻辑的样子，但是感觉也不太对，因为像经常摊位前几的厄敌、瓶邪、藕饼都是平时比较火热的cp，对应的也都是崩铁、盗墓笔记、哪吒这些很出名内容很出色的ip，而且在我印象里二创多说明角色塑造得比较好有很多可以挖掘的点吧，怎么到这里变成了原作空洞和养oc？不过我了解二次元这个圈子也才一年不到，所以想问问大家这个人的说法有道理吗？
以及p2提到摊位制品滞销，想问问制品滞销在一个很多摊位的街道是正常的吗，还是说明摊位制品质量比较差比较水所以没什么人购买？
#百思不得其解 #发自内心的疑问 #如有雷同实属巧合 #一起来探讨 #一个想法但不一定对 #真让我大开眼界了 #说的有道理 #oc ",momo,325,45,400,
所有人感受毛豆,又怎么了大小姐#洛克王国世界 #帽兜 #哒哒哒哒哒哒 ,一抽出金,31,0,3,
放心食用,#空洞骑士 #纯粹容器 ,卢布朗有只咖啡猫,231,6,9,
就这样一直画……,"画制品的图只是第一步，还要做宣图啊啊……
别问我为什么提前近两个月就开始做展子的宣图…纯手工搓就是如此无力，，等回头全都确定下来再嵌字..
#上海空洞骑士only #空洞骑士 #丝之歌 ",啄木鸟睡觉,45,1,2,
织梦球恶魔叮,好适配呀喜欢,小卷,0,0,0,
ClawBench: Agent面对真实任务表现如何？,"分享一下我们ClawBench的工作，作者来自UBC CMU 滑铁卢 清华等单位。导师是UBC & DeepMind Senior Research Scientist Kelsey Allen和滑铁卢大学陈文虎老师。我们构建了评测基准ClawBench，用于衡量AI Agent在真实网站上完成日常任务的能力。Claude Sonnet 4.6在看起来简单的生活任务得分仅33%。
现有的各种AI Agent在沙盒中均有不错的表现；现有的WebArena、 OSWorld这些benchmark使用的均为离线沙箱，使用静态网页进行测试。然而真实世界中的网站有弹窗、验证码、动态加载、long horizon交互等等。为此，我们让Agent直接面对真实的网页环境进行测试。我们在144个真实网站上进行了153个涵盖15个类别的日常任务。
实验中，我们选取了如Google Flights、Amazon等真实网站，进行了5个维度进行记录以精准定位Agent失败原因：屏幕录像+截图+HTTP流量+推理过程+浏览器操作，并设计了安全拦截，拦截如付款按钮的最终提交。我们对Claude Sonnet 4.6, GLM-5, Gemini 3 Flash, GPT-5.4等热门模型进行测试。实验发现，当前前沿模型在真实场景中的表现与沙盒评测之间仍然存在较大差距，还有很多问题值得深入研究。
我们开源了完整的代码、数据、infra、评估流程，欢迎大家使用交流，关注我们的工作。如果我们的工作对您有帮助，请给我们的GitHub仓库加一个star。非常感谢您的支持。我们全部开源了耗费五万美刀以上的agent轨迹。
开源仓库：github.com/reacher-z/ClawBench
我们的网站：claw-bench.com
arxiv论文：huggingface.co/papers/2604.08523
简单易用的一键启动：
uv tool install clawbench-eval && clawbench
修改—harness 参数，支持Hermes Agent，Open Code，Codex，Open Claw，Browser Use，Claude Code等多个harness
非常感谢大家的评论，我们会根据大家的反馈更新arxiv和codebase，欢迎关注..",ce,690,619,66,
,"这个S2的异色恶魔小咪很少女啊…
#洛克王国世界 #洛克王国世界正式上线#洛克创作激励计划#洛克王国S2狂欢怪谈新赛季#洛克王国世界二创 ",oo鸡,3237,187,26,
空洞笑传之迷迷路,"是十几天前脑子一热想画的丝之歌×尖塔的联动，本意只是想看大黄蜂找错人结果页数越画越多根本画不完啊！
咳嗯，故事可能不是很有意思但最后一p我画爽了，真是燃起来了呀！（指笔尖）
接下来还有两篇储君中心的全员向短漫，容我先歇段时间……..
喜欢就点个小红心吧因为画漫画真的很累orz
#丝之歌 #杀戮尖塔2 ",Temporalism,515,46,38,
